"id","mp_name","party","rebellions","attended","possible","percent"
386,"Сергій Соболєв","ВО ""Батьківщина""",1353,8475,11746,16
735,"Олександра Кужель","ВО ""Батьківщина""",1824,8750,11746,21
793,"Юлій Іоффе","Опозиційний блок",1608,9096,11746,18
833,"Юхим Звягільський","Опозиційний блок",121,871,11746,14
862,"Віктор Пинзеник","Блок Петра Порошенка",6596,11441,11746,58
1351,"Іван Кириленко","ВО ""Батьківщина""",1211,9113,11746,13
1792,"Юлія Тимошенко","ВО ""Батьківщина""",908,5262,11746,17
1897,"Руслан Князевич","Блок Петра Порошенка",4094,11041,11746,37
2179,"Сергій Ларін","Опозиційний блок",1374,10606,11746,13
2262,"Анатолій Матвієнко","Блок Петра Порошенка",3502,9248,11746,38
2274,"Нестор Шуфрич","Опозиційний блок",858,6635,11746,13
2284,"Андрій Деркач","Позафракційні",3300,8449,11746,39
2301,"Костянтин Жеваго","Позафракційні",373,1020,11746,37
2308,"Віктор Развадовський","група ""Партія ""Відродження""",3134,9539,12697,33
2314,"Віктор Король","Блок Петра Порошенка",3529,10620,11746,33
2320,"Сергій Ківалов","Опозиційний блок",1511,7002,11746,22
2340,"Рефат Чубаров","Блок Петра Порошенка",3216,8846,10395,36
2356,"Сергій Матвієнков","Опозиційний блок",4361,9099,11746,48
2394,"Мустафа Джемілєв","Блок Петра Порошенка",2953,7451,11746,40
2524,"Олександр Абдуллін","ВО ""Батьківщина""",2042,7793,11746,26
3180,"Оксана Сироїд","Позафракційні",3388,9739,11746,35
3471,"Олександр Біловол","група ""Партія ""Відродження""",2244,7714,11783,29
3849,"Тетяна Донець","Народний фронт",1752,4150,11746,42
4339,"Антон Яценко","група ""Партія ""Відродження""",1300,9166,11783,14
4427,"Валерій Бабенко","Народний фронт",1026,10847,11746,9
4761,"Леонід Ємець","Народний фронт",2759,10156,11746,27
5142,"Валерій Карпунцов","Блок Петра Порошенка",1152,5296,6882,22
5380,"Юрій Павленко","Опозиційний блок",2690,9823,11746,27
5399,"Ігор Шкіря","група ""Партія ""Відродження""",772,7200,11783,11
5414,"Ігор Гринів","Блок Петра Порошенка",3070,9910,11746,31
5422,"Михайло Поплавський","група ""Воля народу""",948,5616,11746,17
5423,"Леонід Клімов","група ""Партія ""Відродження""",924,10033,11783,9
5464,"Михайло Папієв","Опозиційний блок",2131,10420,11746,20
5470,"Володимир Литвин","Позафракційні",4148,8958,11746,46
5486,"Борис Тарасюк","ВО ""Батьківщина""",1549,9690,11746,16
5500,"Едуард Матвійчук","Позафракційні",762,1490,11746,51
5503,"Оксана Білозір","Блок Петра Порошенка",1887,6155,6699,31
5504,"Олександр Третьяков","Блок Петра Порошенка",3352,11163,11746,30
5520,"Тетяна Бахтеєва","Опозиційний блок",1362,8846,11746,15
5541,"Дмитро Святаш","група ""Партія ""Відродження""",760,8386,11783,9
5542,"Олександр Фельдман","група ""Воля народу""",1262,3909,11746,32
5549,"Віталій Хомутиннік","група ""Партія ""Відродження""",611,9827,11783,6
5566,"Віктор Балога","Позафракційні",4448,9128,11746,49
5578,"Михайло Добкін","Опозиційний блок",1142,6974,11746,16
5582,"Петро Сабашук","Блок Петра Порошенка",1283,6337,11746,20
5606,"Анатолій Гіршфельд","група ""Воля народу""",1267,9220,11746,14
5785,"Андрій Шипко","група ""Партія ""Відродження""",1454,7906,11783,18
